County,Total Air Releases
"Hendricks, IN",24667.63
"Hendry, FL",425330
"Hennepin, MN",304956.61
"Henrico, VA",819296.556
"Henry, AL",0
"Henry, GA",37779.63276
"Henry, IA",16603.0022
"Henry, IL",137
"Henry, IN",48452.28
"Henry, KY",4927
"Henry, MO",216134
"Henry, OH",79916.402
"Henry, TN",116112.0201
"Henry, VA",527417.9639
"Herkimer, NY",10084.4
"Hernando, FL",79792.4
"Hertford, NC",99726.21
"Hickman, TN",0
"Highland, OH",0
"Highlands, FL",93023.52
"Hillsborough, FL",711365.525
"Hillsborough, NH",38432.35
"Hillsdale, MI",29496.3
"Hinds, MS",166353.476
"Hitchcock, NE",15318.54
"Hocking, OH",17049.2
"Hoke, NC",27
"Holmes, FL",0
"Holt, MO",3980.45
"Honolulu, HI",539410
"Hopewell City, VA",1867819.449
"Hopkins, KY",815825
"Hopkins, TX",0
"Horry, SC",898319.01
"Hot Spring, AR",173418
"Houghton, MI",57491.31
"Houston, AL",88778.6
"Houston, GA",123196.7
"Houston, TX",43236
"Howard, AR",70012.01
"Howard, IA",23995
"Howard, IN",14083.45
"Howard, MD",2789
"Howard, TX",156018.47
"Howell, MO",2155.1
"Hubbard, MN",0
"Hudson, NJ",1388060.63
"Humacao, PR",9709.61161
"Humboldt, CA",149558.2
"Humboldt, IA",7620
"Humboldt, NV",72776.83
"Humphreys, TN",9481953.01
"Hunt, TX",1285
"Hunterdon, NJ",21.15
"Huntingdon, PA",95160.0178
"Huntington, IN",213166.98
"Huron, MI",60312.43
"Huron, OH",645982
"Hutchinson, TX",676858.42
"Iberia, LA",95052
"Iberville, LA",1029526.849
"Ida, IA",9052.99
"Idaho, ID",0.0061
"Imperial, CA",9580.8
"Independence, AR",759291.6
"Indian River, FL",78645.84
"Indiana, PA",5821741.9
"Ingham, MI",2979862.32
"Ionia, MI",88029.14
"Iosco, MI",1500.5
"Iowa, IA",2986
"Iowa, WI",207.5
"Iredell, NC",110166.9721
"Iron, MO",106172
"Iron, UT",1040.6311
"Iroquois, IL",510647
"Irwin, GA",0
"Island, WA",0
"Isle of Wight, VA",2720905.172
"Itasca, MN",97321.4
"Itawamba, MS",1.4
"Izard, AR",0
"Jack, TX",7777
"Jackson, AL",1522736.86
"Jackson, AR",10637
"Jackson, CO",0
"Jackson, FL",336041.8
"Jackson, GA",122297
"Jackson, IA",0.08
"Jackson, IL",19190
"Jackson, IN",171291
"Jackson, LA",1538316.03
"Jackson, MI",15371.004
"Jackson, MN",34510
"Jackson, MO",857364.5008
